OFFER_ID	LANGUAGE	MODEL	AD_SIZE	TEXT_1	TEXT_2	TEXT_3	TEXT_4	TEXT_5	TEXT_6	TEXT_7	IMAGE_URL	IMAGE_URL1	IMAGE_URL2	IMAGE_URL3	IMAGE_URL4	IMAGE_URL5	PROVIDER_CATEGORY	PRODUCT_NAME	LANDING_PAGE_URL	COUNTRY	RANK
UGC_Clog_11	English	UGC	970x250	UGC_Clog	CAYA_PI	na	en_text				images/1x1.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_Gradient_Background.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_Headline_EN_ComeAsYouAreWhite.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAYA_PI	UGC_Clog|CAYA_PI	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_12	English	UGC	320x50	UGC_Clog	CAYA_PI	na	icon_white				images/1x1.png	images/320x50_Crocs_SS21_Classics_Clog_UGC_Gradient_Background.png	images/320x50_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/1x1.png	images/1x1.png	images/1x1.png	UGC_Clog|CAYA_PI	UGC_Clog|CAYA_PI	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_13	English	UGC	160x600	UGC_Clog	CAC_BL	na	en_text				images/1x1.png	images/160x600_Crocs_SS21_Classics_Clog_UGC_Black_Background.png	images/160x600_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/160x600_Crocs_SS21_Classics_Clog_UGC_Headline_EN_CallingAllClassicsWhite.png	images/160x600_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAC_BL	UGC_Clog|CAC_BL	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_14	English	UGC	300x250	UGC_Clog	CAC_BL	na	en_text				images/1x1.png	images/300x250_Crocs_SS21_Classics_Clog_UGC_Black_Background.png	images/300x250_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/300x250_Crocs_SS21_Classics_Clog_UGC_Headline_EN_CallingAllClassicsWhite.png	images/300x250_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAC_BL	UGC_Clog|CAC_BL	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_15	English	UGC	300x600	UGC_Clog	CAC_BL	na	en_text				images/1x1.png	images/300x600_Crocs_SS21_Classics_Clog_UGC_Black_Background.png	images/300x600_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/300x600_Crocs_SS21_Classics_Clog_UGC_Headline_EN_CallingAllClassicsWhite.png	images/300x600_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAC_BL	UGC_Clog|CAC_BL	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_16	English	UGC	728x90	UGC_Clog	CAC_BL	na	en_text				images/1x1.png	images/728x90_Crocs_SS21_Classics_Clog_UGC_Black_Background.png	images/728x90_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/728x90_Crocs_SS21_Classics_Clog_UGC_Headline_EN_CallingAllClassicsWhite.png	images/728x90_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAC_BL	UGC_Clog|CAC_BL	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_17	English	UGC	970x250	UGC_Clog	CAC_BL	na	en_text				images/1x1.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_Black_Background.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_Headline_EN_CallingAllClassicsWhite.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAC_BL	UGC_Clog|CAC_BL	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_18	English	UGC	320x50	UGC_Clog	CAC_BL	na	icon_white				images/1x1.png	images/320x50_Crocs_SS21_Classics_Clog_UGC_Black_Background.png	images/320x50_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/1x1.png	images/1x1.png	images/1x1.png	UGC_Clog|CAC_BL	UGC_Clog|CAC_BL	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_19	English	UGC	160x600	UGC_Clog	CAC_PI	na	en_text				images/1x1.png	images/160x600_Crocs_SS21_Classics_Clog_UGC_Gradient_Background.png	images/160x600_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/160x600_Crocs_SS21_Classics_Clog_UGC_Headline_EN_CallingAllClassicsWhite.png	images/160x600_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAC_PI	UGC_Clog|CAC_PI	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_20	English	UGC	300x250	UGC_Clog	CAC_PI	na	en_text				images/1x1.png	images/300x250_Crocs_SS21_Classics_Clog_UGC_Gradient_Background.png	images/300x250_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/300x250_Crocs_SS21_Classics_Clog_UGC_Headline_EN_CallingAllClassicsWhite.png	images/300x250_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAC_PI	UGC_Clog|CAC_PI	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_21	English	UGC	300x600	UGC_Clog	CAC_PI	na	en_text				images/1x1.png	images/300x600_Crocs_SS21_Classics_Clog_UGC_Gradient_Background.png	images/300x600_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/300x600_Crocs_SS21_Classics_Clog_UGC_Headline_EN_CallingAllClassicsWhite.png	images/300x600_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAC_PI	UGC_Clog|CAC_PI	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_22	English	UGC	728x90	UGC_Clog	CAC_PI	na	en_text				images/1x1.png	images/728x90_Crocs_SS21_Classics_Clog_UGC_Gradient_Background.png	images/728x90_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/728x90_Crocs_SS21_Classics_Clog_UGC_Headline_EN_CallingAllClassicsWhite.png	images/728x90_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAC_PI	UGC_Clog|CAC_PI	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_23	English	UGC	970x250	UGC_Clog	CAC_PI	na	en_text				images/1x1.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_Gradient_Background.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_Headline_EN_CallingAllClassicsWhite.png	images/970x250_Crocs_SS21_Classics_Clog_UGC_SubHeadline_EN_ClassicClog.png	images/1x1.png	UGC_Clog|CAC_PI	UGC_Clog|CAC_PI	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
UGC_Clog_24	English	UGC	320x50	UGC_Clog	CAC_PI	na	icon_white				images/1x1.png	images/320x50_Crocs_SS21_Classics_Clog_UGC_Gradient_Background.png	images/320x50_Crocs_SS21_Classics_Clog_UGC_Model_Img.png	images/1x1.png	images/1x1.png	images/1x1.png	UGC_Clog|CAC_PI	UGC_Clog|CAC_PI	https://www.crocs.com/c/shop-by/style/classic-crocs?adid=dsp_%s_US_dco_Intent_Brand-StandardBanner_Prospecting_ClassicClog_Display_McKinney-Brand_Classics-Clog_20210318_ClassicClogs_%ecid!-%epid!		10
